section,group,horizon,common_rows,atm_column,lstm_model,baseline_model,dm_stat_overall_mse,dm_p_value_overall_mse,dm_stat_atm_mse,dm_p_value_atm_mse,model,family,region,num_columns,rmse,mae,r2,regime,regime_threshold_atm_iv,forecast_rmse,forecast_mae,forecast_r2,num_rows,num_trades,net_pnl,gross_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,long_trades,short_trades,signal_realized_corr,profit_factor,scenario,scenario_description,threshold,holding_period_bars,round_trip_cost_bps,net_pnl_compression_pct_vs_base,study,condition,test_rmse,test_mae,test_r2,variant,shape_projection_enabled,smoothness_penalty,pred_adjacent_abs_diff,pred_second_diff_abs,pred_second_diff_rms,multi_kink_fraction,avg_slope_sign_changes
execution_sensitivity,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,,,,,,,2576.0,2.141199249100558,,0.5163043478260869,0.0613684009910425,24.216541255978097,-0.0178936234145061,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.003,24.0,31.0,29.63061070382841,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,,,,,,,2441.0,3.07153299287354,,0.5051208521097911,0.0581522774919001,33.50482279457925,-0.0085782819582449,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.003,24.0,17.0,0.0,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,,,,,,,2441.0,2.58333299287354,,0.5051208521097911,0.0581522774919001,29.10360119301633,-0.0091782819582448,,,,,latency_proxy,Higher slippage and impact to proxy stale execution and queue loss.,0.003,24.0,25.0,15.89434335013506,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,,,,,,,2441.0,2.7053829928735404,,0.5051208521097911,0.0581522774919001,30.243807172418975,-0.0090282819582447,,,,,wide_spread,"Wider quoted spread, holding other frictions fixed.",0.003,24.0,23.0,11.920757512601288,,,,,,,,,,,,,
execution_sensitivity,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,,,,,,,2441.0,2.21718299287354,,0.5051208521097911,0.0581522774919001,25.526196045400503,-0.0098971203250715,,,,,wide_spread_plus_latency,Combined spread and latency stress.,0.003,24.0,31.0,27.815100862736365,,,,,,,,,,,,,
placebo,,,,,,,,,,,seq12_h1_l2_h128_placebo,lstm,,,,,,,,,,,,8191.0,7.19884701569652,,0.5276523013063118,,,,,,,,,,,,,,placebo,real_reference,0.0504811669834141,,,,,,,,,,
placebo,,,,,,,,,,,seq12_h1_l2_h128_placebo,lstm,,,,,,,,,,,,10523.0,3.948258893272867,,0.4818017675567804,,,,,,,,,,,,,,placebo,placebo_target_shuffle,0.0611455142498016,,,,,,,,,,
placebo,,,,,,,,,,,mlp_seq12_h1_placebo,baseline,,,,,,,,,,,,8864.0,6.871824599884687,,0.4936823104693141,,,,,,,,,,,,,,placebo,real_reference,0.0524996885664262,,,,,,,,,,
placebo,,,,,,,,,,,mlp_seq12_h1_placebo,baseline,,,,,,,,,,,,10544.0,3.916339889868963,,0.477902124430956,,,,,,,,,,,,,,placebo,placebo_target_shuffle,0.062541551887989,,,,,,,,,,
vega_weighted,,,,,,,,,,,seq12_h1_l2_h128_vega_weighted,,,,,,,,,,,,,8191.0,7.19884701569652,,0.5276523013063118,,,,,,,,,,,,,,,reference_unweighted,0.0504811669834141,0.0335013553419597,0.3748865492758624,,,,,,,,
vega_weighted,,,,,,,,,,,seq12_h1_l2_h128_vega_weighted,,,,,,,,,,,,,8280.0,7.166401592579303,,0.5161835748792271,,,,,,,,,,,,,,,vega_weighted_loss,0.0509376302361488,0.0344805531203746,0.3635305332542938,,,,,,,,
vega_weighted,,,,,,,,,,,seq84_h1_l2_h256_vega_weighted,,,,,,,,,,,,,6012.0,4.5029209065423075,,0.498502994011976,,,,,,,,,,,,,,,reference_unweighted,0.0460908530998945,0.0314213088388434,0.4029156357418426,,,,,,,,
vega_weighted,,,,,,,,,,,seq84_h1_l2_h256_vega_weighted,,,,,,,,,,,,,5905.0,4.487719954914091,,0.5280270956816258,,,,,,,,,,,,,,,vega_weighted_loss,0.0468946360051631,0.0332924760878086,0.3819088384433374,,,,,,,,
shape_diagnostics,,,,,,,,,,,,,,,,,,,,,,,,6012.0,4.5029209065423075,,0.498502994011976,,,,,,,,,,,,,,,,0.0460908530998945,0.0314213088388434,0.4029156357418426,base_shape_and_smooth,True,0.05,0.0120635597070807,0.0084760778977122,0.0109552472108864,0.0003781433163168,0.9665343165059558
shape_diagnostics,,,,,,,,,,,,,,,,,,,,,,,,6038.0,4.503171608939812,,0.4971844981782047,,,,,,,,,,,,,,,,0.0460589323533096,0.0312524125006077,0.4037423845435974,shape_only,True,0.0,0.0124610201763093,0.0086908842944602,0.0113601989642154,0.0003781433163168,0.9685195689166194
shape_diagnostics,,,,,,,,,,,,,,,,,,,,,,,,5922.0,4.513045650637681,,0.5258358662613982,,,,,,,,,,,,,,,,0.0462623380643325,0.0320073299317451,0.3984643634699928,smoothness_only,False,0.05,0.0115109061012163,0.0078486170901871,0.0099981308769374,0.1689355265645679,0.9313669880884856
shape_diagnostics,,,,,,,,,,,,,,,,,,,,,,,,5899.0,4.501365661508263,,0.4997457196134938,,,,,,,,,,,,,,,,0.0460738080715676,0.0309779986503254,0.4033571740238157,unregularized,False,0.0,0.0128243930172685,0.0095718470340707,0.012601625072276,0.2494800529400642,1.0865948194365664
